engine_id,cycle,health_index
1,1,1.0
1,2,0.9947643979057592
1,3,0.9895287958115183
1,4,0.9842931937172775
1,5,0.9790575916230366
1,6,0.9738219895287958
1,7,0.9685863874345549
1,8,0.9633507853403142
1,9,0.9581151832460733
1,10,0.9528795811518325
1,11,0.9476439790575916
1,12,0.9424083769633508
1,13,0.93717277486911
1,14,0.9319371727748691
1,15,0.9267015706806283
1,16,0.9214659685863874
1,17,0.9162303664921466
1,18,0.9109947643979057
1,19,0.9057591623036649
1,20,0.900523560209424
1,21,0.8952879581151832
1,22,0.8900523560209425
1,23,0.8848167539267016
1,24,0.8795811518324608
1,25,0.8743455497382199
1,26,0.8691099476439791
1,27,0.8638743455497382
1,28,0.8586387434554974
1,29,0.8534031413612565
1,30,0.8481675392670157
1,31,0.8429319371727748
1,32,0.837696335078534
1,33,0.8324607329842932
1,34,0.8272251308900523
1,35,0.8219895287958116
1,36,0.8167539267015707
1,37,0.8115183246073299
1,38,0.806282722513089
1,39,0.8010471204188482
1,40,0.7958115183246073
1,41,0.7905759162303665
1,42,0.7853403141361257
1,43,0.7801047120418848
1,44,0.774869109947644
1,45,0.7696335078534031
1,46,0.7643979057591623
1,47,0.7591623036649214
1,48,0.7539267015706806
1,49,0.7486910994764397
1,50,0.743455497382199
1,51,0.7382198952879581
1,52,0.7329842931937173
1,53,0.7277486910994765
1,54,0.7225130890052356
1,55,0.7172774869109948
1,56,0.7120418848167539
1,57,0.7068062827225131
1,58,0.7015706806282722
1,59,0.6963350785340314
1,60,0.6910994764397905
1,61,0.6858638743455497
1,62,0.680628272251309
1,63,0.675392670157068
1,64,0.6701570680628273
1,65,0.6649214659685864
1,66,0.6596858638743456
1,67,0.6544502617801047
1,68,0.6492146596858639
1,69,0.643979057591623
1,70,0.6387434554973822
1,71,0.6335078534031413
1,72,0.6282722513089005
1,73,0.6230366492146597
1,74,0.6178010471204188
1,75,0.612565445026178
1,76,0.6073298429319371
1,77,0.6020942408376964
1,78,0.5968586387434555
1,79,0.5916230366492147
1,80,0.5863874345549738
1,81,0.581151832460733
1,82,0.5759162303664922
1,83,0.5706806282722513
1,84,0.5654450261780105
1,85,0.5602094240837696
1,86,0.5549738219895288
1,87,0.5497382198952879
1,88,0.5445026178010471
1,89,0.5392670157068062
1,90,0.5340314136125655
1,91,0.5287958115183246
1,92,0.5235602094240838
1,93,0.518324607329843
1,94,0.5130890052356021
1,95,0.5078534031413613
1,96,0.5026178010471204
1,97,0.4973821989528796
1,98,0.49214659685863876
1,99,0.4869109947643979
1,100,0.4816753926701571
1,101,0.47643979057591623
1,102,0.4712041884816754
1,103,0.46596858638743455
1,104,0.4607329842931937
1,105,0.45549738219895286
1,106,0.450261780104712
1,107,0.44502617801047123
1,108,0.4397905759162304
1,109,0.43455497382198954
1,110,0.4293193717277487
1,111,0.42408376963350786
1,112,0.418848167539267
1,113,0.41361256544502617
1,114,0.4083769633507853
1,115,0.4031413612565445
1,116,0.39790575916230364
1,117,0.39267015706806285
1,118,0.387434554973822
1,119,0.38219895287958117
1,120,0.3769633507853403
1,121,0.3717277486910995
1,122,0.36649214659685864
1,123,0.3612565445026178
1,124,0.35602094240837695
1,125,0.3507853403141361
1,126,0.34554973821989526
1,127,0.3403141361256545
1,128,0.33507853403141363
