engine_id,cycle,sensor_degradation
1,1,0.24291612495164422
1,2,0.24291612495164422
1,3,0.24291612495164422
1,4,0.24291612495164422
1,5,0.24291612495164422
1,6,0.24291612495164422
1,7,0.24291612495164422
1,8,0.24291612495164422
1,9,0.24291612495164422
1,10,0.24291612495164422
1,11,0.24291612495164422
1,12,0.24291612495164422
1,13,0.24291612495164422
1,14,0.24323801850952662
1,15,0.26785701301614184
1,16,0.26785701301614184
1,17,0.26785701301614184
1,18,0.26785701301614184
1,19,0.26785701301614184
1,20,0.26785701301614184
1,21,0.26785701301614184
1,22,0.26785701301614184
1,23,0.26785701301614184
1,24,0.26785701301614184
1,25,0.26785701301614184
1,26,0.26785701301614184
1,27,0.26785701301614184
1,28,0.26785701301614184
1,29,0.26785701301614184
1,30,0.26785701301614184
1,31,0.26785701301614184
1,32,0.26785701301614184
1,33,0.26785701301614184
1,34,0.26785701301614184
1,35,0.26785701301614184
1,36,0.26785701301614184
1,37,0.26785701301614184
1,38,0.26785701301614184
1,39,0.26785701301614184
1,40,0.26785701301614184
1,41,0.26785701301614184
1,42,0.26785701301614184
1,43,0.26785701301614184
1,44,0.26785701301614184
1,45,0.26785701301614184
1,46,0.26785701301614184
1,47,0.26785701301614184
1,48,0.26785701301614184
1,49,0.26785701301614184
1,50,0.26785701301614184
1,51,0.26785701301614184
1,52,0.2814168157122548
1,53,0.2814168157122548
1,54,0.2814168157122548
1,55,0.2814168157122548
1,56,0.2814168157122548
1,57,0.2814168157122548
1,58,0.2814168157122548
1,59,0.2814168157122548
1,60,0.2814168157122548
1,61,0.2814168157122548
1,62,0.2814168157122548
1,63,0.2814168157122548
1,64,0.2814168157122548
1,65,0.28381253723027033
1,66,0.28381253723027033
1,67,0.28381253723027033
1,68,0.28381253723027033
1,69,0.28381253723027033
1,70,0.28381253723027033
1,71,0.28381253723027033
1,72,0.28381253723027033
1,73,0.28381253723027033
1,74,0.28381253723027033
1,75,0.28381253723027033
1,76,0.28381253723027033
1,77,0.28381253723027033
1,78,0.28381253723027033
1,79,0.2880836178356951
1,80,0.2880836178356951
1,81,0.2935318359641667
1,82,0.30379561925957976
1,83,0.30379561925957976
1,84,0.30379561925957976
1,85,0.3082992726157107
1,86,0.3082992726157107
1,87,0.3082992726157107
1,88,0.3082992726157107
1,89,0.3082992726157107
1,90,0.3082992726157107
1,91,0.3082992726157107
